Card 1,Card 2,Card 3,Card 4,Card 5,Hand
Ace Spades,6 Diamonds,Queen Spades,3 Clubs,6 Heart,One pair
7 Diamonds,8 Clubs,2 Spades,9 Spades,Ace Clubs,Nothing in hand
King Heart,Queen Diamonds,Jack Diamonds,4 Heart,10 Spades,Nothing in hand
8 Heart,9 Diamonds,5 Clubs,10 Diamonds,10 Clubs,One pair
4 Clubs,8 Diamonds,6 Diamonds,3 Diamonds,Queen Spades,Nothing in hand
3 Diamonds,Jack Clubs,3 Heart,5 Heart,4 Clubs,One pair
10 Heart,3 Spades,9 Clubs,Queen Spades,2 Spades,Nothing in hand
10 Diamonds,5 Clubs,8 Clubs,6 Clubs,8 Diamonds,One pair
10 Clubs,5 Clubs,3 Spades,2 Spades,Ace Diamonds,Nothing in hand
Queen Heart,King Clubs,6 Clubs,3 Diamonds,3 Spades,One pair
5 Diamonds,3 Clubs,9 Clubs,Queen Clubs,8 Clubs,Nothing in hand
Queen Diamonds,2 Clubs,8 Diamonds,9 Heart,3 Diamonds,Nothing in hand
5 Clubs,9 Diamonds,4 Clubs,5 Heart,King Spades,One pair
Ace Heart,10 Spades,9 Spades,8 Diamonds,9 Heart,One pair
6 Spades,King Heart,10 Clubs,4 Clubs,King Diamonds,One pair
7 Clubs,King Clubs,3 Spades,9 Diamonds,8 Heart,Nothing in hand
Queen Diamonds,10 Heart,2 Clubs,Ace Spades,10 Clubs,One pair
8 Spades,Ace Diamonds,5 Spades,5 Diamonds,Jack Heart,One pair
King Heart,6 Spades,9 Diamonds,King Clubs,9 Heart,Two pairs
7 Spades,King Diamonds,King Spades,9 Spades,8 Diamonds,One pair
5 Clubs,2 Diamonds,7 Heart,7 Clubs,2 Clubs,Two pairs
4 Clubs,7 Spades,2 Spades,6 Clubs,2 Diamonds,One pair
10 Heart,5 Spades,Jack Spades,3 Clubs,3 Diamonds,One pair
9 Diamonds,5 Heart,8 Spades,8 Heart,10 Spades,One pair
6 Spades,9 Clubs,10 Heart,10 Spades,6 Diamonds,Two pairs
3 Clubs,9 Spades,9 Clubs,Ace Diamonds,2 Spades,One pair
5 Spades,7 Spades,9 Diamonds,7 Clubs,Ace Heart,One pair
Queen Spades,9 Heart,7 Heart,2 Diamonds,5 Clubs,Nothing in hand
2 Diamonds,2 Clubs,8 Heart,5 Diamonds,2 Spades,Three of a kind
6 Diamonds,Jack Diamonds,Ace Clubs,9 Spades,6 Heart,One pair
7 Diamonds,10 Diamonds,Queen Clubs,6 Diamonds,4 Diamonds,Nothing in hand
Ace Spades,2 Diamonds,3 Clubs,King Diamonds,7 Spades,Nothing in hand
6 Heart,Queen Clubs,2 Clubs,2 Heart,10 Clubs,One pair
7 Diamonds,2 Clubs,3 Clubs,King Clubs,Jack Heart,Nothing in hand
Queen Clubs,8 Heart,3 Spades,3 Diamonds,4 Spades,One pair
5 Heart,10 Heart,3 Spades,10 Diamonds,9 Diamonds,One pair
4 Clubs,6 Spades,5 Clubs,9 Clubs,Jack Spades,Nothing in hand
10 Spades,10 Diamonds,Ace Clubs,3 Heart,3 Spades,Two pairs
6 Spades,5 Spades,Ace Heart,King Heart,10 Clubs,Nothing in hand
King Spades,Queen Spades,10 Clubs,3 Spades,3 Diamonds,One pair
10 Spades,Queen Diamonds,Jack Heart,3 Spades,8 Heart,Nothing in hand
King Clubs,7 Spades,4 Clubs,Queen Heart,2 Diamonds,Nothing in hand
4 Spades,10 Clubs,2 Clubs,6 Diamonds,4 Diamonds,One pair
King Diamonds,Jack Heart,Ace Diamonds,Ace Heart,9 Heart,One pair
8 Diamonds,5 Spades,Ace Diamonds,2 Spades,2 Heart,One pair
9 Clubs,7 Spades,Ace Heart,10 Diamonds,5 Diamonds,Nothing in hand
King Spades,Ace Spades,2 Heart,8 Spades,7 Heart,Nothing in hand
3 Clubs,10 Clubs,Queen Clubs,8 Heart,Queen Diamonds,One pair
9 Clubs,5 Spades,4 Heart,3 Diamonds,Ace Clubs,Nothing in hand
King Clubs,5 Clubs,9 Diamonds,2 Clubs,10 Heart,Nothing in hand
3 Clubs,8 Heart,Jack Spades,4 Diamonds,Ace Diamonds,Nothing in hand
7 Diamonds,King Heart,4 Heart,7 Spades,Ace Spades,One pair
7 Clubs,2 Heart,Ace Spades,Ace Diamonds,4 Diamonds,One pair
9 Heart,8 Heart,3 Diamonds,King Heart,10 Clubs,Nothing in hand
8 Spades,Ace Clubs,Jack Clubs,3 Clubs,8 Clubs,One pair
6 Clubs,5 Clubs,Queen Heart,2 Diamonds,Jack Heart,Nothing in hand
9 Heart,2 Heart,2 Clubs,6 Clubs,Queen Spades,One pair
Ace Spades,10 Diamonds,7 Diamonds,Ace Heart,7 Clubs,Two pairs
6 Diamonds,Ace Spades,4 Heart,7 Spades,3 Diamonds,Nothing in hand
6 Diamonds,2 Heart,9 Heart,5 Spades,2 Clubs,One pair
6 Spades,3 Heart,King Clubs,2 Diamonds,3 Spades,One pair
10 Heart,4 Spades,8 Diamonds,3 Heart,2 Clubs,Nothing in hand
6 Diamonds,Jack Diamonds,King Spades,9 Diamonds,9 Heart,One pair
King Diamonds,Jack Spades,8 Spades,4 Spades,2 Diamonds,Nothing in hand
Queen Clubs,5 Diamonds,6 Spades,Ace Diamonds,7 Heart,Nothing in hand
5 Spades,4 Spades,10 Clubs,2 Clubs,5 Diamonds,One pair
5 Heart,King Heart,3 Diamonds,6 Heart,2 Clubs,Nothing in hand
Queen Diamonds,Ace Spades,7 Clubs,3 Spades,2 Heart,Nothing in hand
3 Heart,Queen Diamonds,4 Heart,6 Spades,5 Spades,Nothing in hand
10 Clubs,2 Clubs,Jack Diamonds,King Clubs,5 Diamonds,Nothing in hand
8 Clubs,7 Spades,3 Heart,2 Clubs,10 Spades,Nothing in hand
9 Clubs,7 Diamonds,6 Spades,6 Diamonds,8 Diamonds,One pair
King Spades,6 Clubs,3 Diamonds,King Clubs,8 Diamonds,One pair
2 Diamonds,7 Diamonds,10 Clubs,8 Spades,7 Spades,One pair
Jack Spades,10 Diamonds,6 Spades,3 Clubs,9 Clubs,Nothing in hand
5 Spades,3 Spades,3 Clubs,10 Clubs,6 Heart,One pair
5 Spades,Queen Heart,King Diamonds,King Heart,Jack Spades,One pair
4 Heart,8 Heart,King Diamonds,Ace Heart,2 Diamonds,Nothing in hand
Queen Spades,8 Clubs,King Clubs,Ace Diamonds,Ace Spades,One pair
6 Diamonds,10 Spades,Jack Spades,Ace Diamonds,9 Diamonds,Nothing in hand
5 Diamonds,3 Diamonds,5 Clubs,King Spades,King Heart,Two pairs
7 Spades,Queen Heart,2 Clubs,4 Diamonds,8 Spades,Nothing in hand
Jack Spades,6 Diamonds,8 Diamonds,6 Heart,4 Spades,One pair
2 Heart,6 Diamonds,Ace Spades,4 Spades,9 Diamonds,Nothing in hand
9 Spades,2 Diamonds,Queen Clubs,10 Diamonds,Queen Spades,One pair
4 Spades,8 Spades,Jack Clubs,10 Spades,8 Diamonds,One pair
6 Spades,9 Heart,9 Clubs,Jack Heart,4 Heart,One pair
Queen Clubs,4 Clubs,2 Diamonds,6 Heart,5 Diamonds,Nothing in hand
7 Spades,2 Heart,King Diamonds,5 Spades,2 Clubs,One pair
8 Clubs,7 Heart,5 Diamonds,5 Spades,Ace Spades,One pair
5 Spades,Ace Clubs,3 Clubs,Queen Diamonds,Jack Heart,Nothing in hand
10 Clubs,10 Spades,5 Heart,King Spades,7 Spades,One pair
4 Clubs,Queen Spades,8 Heart,6 Clubs,Ace Clubs,Nothing in hand
4 Spades,5 Spades,5 Clubs,9 Clubs,2 Heart,One pair
10 Diamonds,Jack Diamonds,5 Spades,7 Heart,8 Diamonds,Nothing in hand
5 Clubs,7 Spades,2 Clubs,7 Diamonds,5 Diamonds,Two pairs
Jack Diamonds,King Heart,8 Heart,6 Diamonds,9 Clubs,Nothing in hand
King Heart,6 Spades,2 Diamonds,7 Diamonds,7 Clubs,One pair
2 Clubs,6 Diamonds,Jack Diamonds,5 Heart,Jack Clubs,One pair
5 Clubs,7 Clubs,8 Heart,Ace Spades,4 Spades,Nothing in hand
7 Heart,10 Heart,5 Heart,7 Clubs,8 Spades,One pair
4 Spades,10 Diamonds,2 Heart,Queen Clubs,King Diamonds,Nothing in hand
9 Spades,2 Clubs,King Clubs,10 Spades,10 Heart,One pair
3 Heart,Ace Spades,Jack Diamonds,Ace Diamonds,9 Heart,One pair
Queen Clubs,4 Clubs,Jack Clubs,Ace Clubs,9 Clubs,Flush
Jack Heart,2 Clubs,Ace Spades,10 Heart,Ace Heart,One pair
5 Heart,King Clubs,6 Clubs,Jack Clubs,King Spades,One pair
4 Clubs,5 Diamonds,5 Spades,Ace Clubs,King Heart,One pair
Queen Diamonds,2 Spades,King Clubs,6 Diamonds,4 Clubs,Nothing in hand
3 Spades,Jack Spades,10 Spades,8 Heart,Ace Diamonds,Nothing in hand
10 Clubs,King Spades,5 Clubs,4 Spades,King Heart,One pair
Queen Spades,8 Heart,10 Heart,King Diamonds,4 Heart,Nothing in hand
Jack Clubs,9 Spades,4 Diamonds,10 Clubs,5 Spades,Nothing in hand
8 Heart,10 Heart,7 Heart,Ace Diamonds,9 Heart,Nothing in hand
9 Spades,2 Spades,9 Diamonds,8 Diamonds,Ace Heart,One pair
5 Diamonds,5 Heart,7 Spades,9 Spades,Ace Diamonds,One pair
9 Diamonds,2 Diamonds,5 Clubs,5 Heart,7 Clubs,One pair
6 Clubs,Jack Spades,4 Diamonds,Jack Diamonds,4 Heart,Two pairs
9 Clubs,Jack Heart,Jack Diamonds,3 Heart,Queen Clubs,One pair
4 Diamonds,5 Diamonds,King Clubs,3 Spades,2 Spades,Nothing in hand
King Diamonds,Queen Diamonds,8 Diamonds,Queen Heart,3 Diamonds,One pair
10 Diamonds,4 Heart,3 Heart,Jack Clubs,10 Spades,One pair
6 Heart,5 Spades,10 Diamonds,6 Diamonds,Queen Spades,One pair
9 Spades,5 Clubs,4 Heart,7 Clubs,Jack Spades,Nothing in hand
4 Clubs,4 Diamonds,10 Spades,Queen Spades,Queen Heart,Two pairs
10 Diamonds,4 Heart,Jack Diamonds,King Heart,2 Diamonds,Nothing in hand
Queen Heart,3 Clubs,8 Spades,10 Spades,5 Heart,Nothing in hand
10 Diamonds,2 Heart,Jack Clubs,5 Clubs,Ace Spades,Nothing in hand
7 Clubs,4 Spades,8 Heart,King Spades,3 Clubs,Nothing in hand
Queen Clubs,9 Heart,3 Clubs,9 Clubs,Jack Diamonds,One pair
2 Spades,8 Clubs,9 Spades,5 Heart,5 Diamonds,One pair
6 Diamonds,10 Diamonds,2 Spades,King Heart,3 Diamonds,Nothing in hand
8 Clubs,8 Spades,Jack Heart,7 Clubs,Jack Diamonds,Two pairs
2 Diamonds,2 Clubs,6 Diamonds,7 Spades,7 Diamonds,Two pairs
3 Heart,9 Spades,7 Diamonds,8 Heart,8 Diamonds,One pair
9 Clubs,King Spades,6 Diamonds,Jack Heart,4 Diamonds,Nothing in hand
4 Diamonds,7 Clubs,3 Heart,4 Heart,3 Spades,Two pairs
4 Diamonds,10 Spades,Jack Heart,7 Spades,2 Heart,Nothing in hand
6 Spades,4 Clubs,6 Clubs,8 Clubs,4 Diamonds,Two pairs
3 Clubs,3 Spades,7 Diamonds,5 Spades,6 Spades,One pair
4 Clubs,2 Diamonds,5 Spades,3 Diamonds,7 Heart,Nothing in hand
3 Heart,9 Heart,Jack Clubs,10 Clubs,8 Heart,Nothing in hand
King Clubs,7 Clubs,Jack Spades,3 Diamonds,6 Heart,Nothing in hand
Ace Diamonds,10 Clubs,Queen Diamonds,3 Spades,4 Clubs,Nothing in hand
Ace Heart,10 Heart,3 Clubs,2 Diamonds,Ace Spades,One pair
Queen Clubs,Ace Clubs,10 Diamonds,Jack Clubs,7 Spades,Nothing in hand
10 Clubs,10 Diamonds,Jack Heart,10 Heart,3 Diamonds,Three of a kind
9 Diamonds,2 Clubs,10 Spades,8 Clubs,5 Spades,Nothing in hand
9 Heart,7 Clubs,6 Clubs,3 Clubs,6 Diamonds,One pair
5 Heart,7 Clubs,Ace Spades,8 Diamonds,6 Clubs,Nothing in hand
Queen Spades,8 Clubs,Jack Spades,8 Heart,King Spades,One pair
7 Heart,8 Clubs,2 Spades,9 Heart,7 Diamonds,One pair
7 Clubs,Jack Diamonds,Ace Spades,5 Clubs,Queen Heart,Nothing in hand
Ace Clubs,9 Spades,10 Diamonds,4 Heart,6 Clubs,Nothing in hand
4 Diamonds,3 Spades,8 Clubs,Queen Diamonds,Ace Spades,Nothing in hand
7 Spades,3 Spades,7 Clubs,Ace Spades,9 Diamonds,One pair
4 Diamonds,King Clubs,10 Heart,King Diamonds,2 Heart,One pair
4 Diamonds,8 Clubs,Jack Spades,King Spades,2 Heart,Nothing in hand
8 Heart,King Spades,9 Spades,6 Diamonds,4 Diamonds,Nothing in hand
8 Spades,10 Spades,2 Heart,2 Clubs,7 Spades,One pair
10 Clubs,7 Clubs,8 Spades,4 Spades,9 Diamonds,Nothing in hand
4 Spades,9 Diamonds,Jack Spades,4 Heart,3 Diamonds,One pair
4 Clubs,King Spades,Ace Diamonds,Queen Diamonds,6 Clubs,Nothing in hand
8 Diamonds,8 Heart,9 Heart,Ace Heart,7 Clubs,One pair
King Spades,Jack Heart,Ace Spades,8 Heart,4 Spades,Nothing in hand
9 Heart,3 Diamonds,4 Spades,King Clubs,Queen Spades,Nothing in hand
Queen Spades,Jack Spades,10 Spades,King Spades,7 Heart,Nothing in hand
10 Spades,6 Clubs,9 Clubs,Ace Diamonds,4 Clubs,Nothing in hand
King Diamonds,3 Clubs,King Spades,Ace Heart,9 Heart,One pair
6 Spades,King Diamonds,Queen Diamonds,6 Diamonds,6 Clubs,Three of a kind
7 Spades,Queen Clubs,5 Heart,8 Spades,8 Clubs,One pair
8 Spades,King Spades,2 Clubs,2 Diamonds,King Clubs,Two pairs
Ace Heart,King Heart,8 Spades,3 Diamonds,6 Heart,Nothing in hand
King Spades,5 Heart,King Clubs,4 Diamonds,8 Spades,One pair
5 Spades,2 Spades,Queen Spades,5 Diamonds,9 Clubs,One pair
3 Clubs,Jack Clubs,5 Clubs,3 Spades,5 Heart,Two pairs
2 Diamonds,Jack Diamonds,2 Heart,6 Clubs,3 Spades,One pair
Ace Clubs,Jack Diamonds,6 Clubs,Queen Heart,8 Clubs,Nothing in hand
2 Spades,3 Spades,5 Spades,3 Heart,Jack Spades,One pair
5 Heart,2 Diamonds,9 Heart,3 Heart,2 Clubs,One pair
9 Diamonds,6 Spades,10 Diamonds,7 Spades,5 Diamonds,Nothing in hand
8 Clubs,5 Heart,4 Clubs,4 Heart,2 Clubs,One pair
King Clubs,8 Diamonds,9 Heart,9 Clubs,3 Diamonds,One pair
Ace Heart,9 Clubs,3 Spades,10 Heart,8 Heart,Nothing in hand
6 Heart,10 Heart,King Heart,9 Spades,King Spades,One pair
8 Spades,2 Diamonds,6 Diamonds,Ace Clubs,King Diamonds,Nothing in hand
7 Spades,Queen Clubs,6 Clubs,Ace Heart,7 Heart,One pair
7 Diamonds,5 Clubs,King Clubs,6 Diamonds,2 Diamonds,Nothing in hand
2 Diamonds,King Spades,Jack Heart,6 Spades,Queen Heart,Nothing in hand
10 Clubs,6 Heart,6 Spades,Ace Diamonds,King Spades,One pair
9 Clubs,9 Diamonds,7 Clubs,6 Spades,7 Heart,Two pairs
9 Clubs,6 Clubs,5 Spades,9 Diamonds,4 Spades,One pair
Ace Heart,Queen Diamonds,Queen Clubs,Jack Heart,5 Diamonds,One pair
King Heart,Ace Spades,Ace Diamonds,7 Heart,2 Spades,One pair
King Diamonds,5 Clubs,7 Heart,6 Clubs,Queen Spades,Nothing in hand
10 Clubs,2 Diamonds,Jack Heart,4 Spades,8 Heart,Nothing in hand
7 Spades,5 Diamonds,2 Diamonds,8 Clubs,Queen Diamonds,Nothing in hand
Queen Spades,Ace Diamonds,8 Clubs,Jack Diamonds,8 Diamonds,One pair
7 Clubs,5 Diamonds,6 Clubs,8 Diamonds,Queen Heart,Nothing in hand
Jack Spades,5 Heart,6 Diamonds,Queen Diamonds,3 Spades,Nothing in hand
King Diamonds,8 Heart,2 Heart,5 Clubs,8 Spades,One pair
9 Spades,4 Spades,4 Heart,6 Spades,Ace Diamonds,One pair
5 Spades,8 Heart,Jack Diamonds,10 Spades,King Diamonds,Nothing in hand
3 Heart,10 Clubs,4 Diamonds,Queen Heart,Ace Clubs,Nothing in hand
9 Clubs,Queen Diamonds,9 Heart,Queen Spades,8 Heart,Two pairs
8 Spades,7 Heart,9 Heart,9 Spades,2 Spades,One pair
10 Heart,4 Spades,Jack Heart,Jack Spades,Ace Clubs,One pair
Queen Heart,9 Diamonds,10 Spades,2 Spades,8 Spades,Nothing in hand
5 Heart,5 Diamonds,8 Clubs,9 Spades,5 Spades,Three of a kind
3 Diamonds,6 Heart,6 Spades,King Heart,9 Clubs,One pair
2 Clubs,6 Spades,Jack Heart,7 Diamonds,6 Diamonds,One pair
2 Heart,King Clubs,2 Clubs,8 Heart,6 Heart,One pair
2 Spades,4 Heart,8 Spades,8 Diamonds,3 Spades,One pair
7 Clubs,5 Diamonds,2 Heart,5 Heart,3 Clubs,One pair
10 Clubs,6 Spades,2 Diamonds,King Spades,Queen Heart,Nothing in hand
2 Diamonds,3 Heart,7 Heart,Queen Spades,8 Clubs,Nothing in hand
4 Diamonds,9 Clubs,9 Heart,10 Clubs,7 Heart,One pair
3 Heart,5 Spades,King Heart,Ace Clubs,Queen Clubs,Nothing in hand
Queen Heart,Ace Diamonds,6 Spades,4 Diamonds,King Clubs,Nothing in hand
5 Spades,5 Heart,2 Diamonds,7 Clubs,Queen Diamonds,One pair
Ace Diamonds,4 Heart,8 Clubs,9 Spades,10 Diamonds,Nothing in hand
9 Spades,9 Heart,6 Spades,Ace Spades,Queen Clubs,One pair
King Spades,Jack Diamonds,7 Heart,9 Heart,Jack Clubs,One pair
8 Heart,Queen Clubs,8 Spades,9 Spades,8 Clubs,Three of a kind
5 Heart,8 Heart,Queen Clubs,2 Heart,10 Clubs,Nothing in hand
6 Clubs,3 Clubs,8 Spades,Queen Clubs,Jack Spades,Nothing in hand
5 Spades,8 Heart,10 Diamonds,Jack Spades,5 Clubs,One pair
7 Clubs,8 Clubs,5 Diamonds,Jack Clubs,King Heart,Nothing in hand
Queen Heart,7 Diamonds,King Clubs,10 Diamonds,10 Spades,One pair
7 Spades,8 Heart,2 Heart,2 Clubs,10 Diamonds,One pair
2 Heart,6 Clubs,Queen Clubs,9 Diamonds,9 Spades,One pair
Jack Diamonds,Queen Heart,4 Clubs,7 Diamonds,9 Diamonds,Nothing in hand
6 Diamonds,5 Heart,6 Spades,4 Diamonds,2 Heart,One pair
Ace Clubs,7 Spades,9 Clubs,10 Diamonds,5 Diamonds,Nothing in hand
10 Spades,King Clubs,Queen Clubs,9 Heart,King Diamonds,One pair
8 Diamonds,3 Spades,10 Spades,7 Spades,4 Heart,Nothing in hand
9 Spades,6 Diamonds,7 Spades,King Diamonds,8 Diamonds,Nothing in hand
Jack Heart,King Heart,Jack Clubs,6 Heart,6 Clubs,Two pairs
2 Spades,Jack Clubs,7 Clubs,2 Clubs,Queen Diamonds,One pair
8 Diamonds,3 Clubs,Ace Diamonds,2 Spades,Jack Diamonds,Nothing in hand
2 Heart,King Clubs,Queen Clubs,8 Diamonds,6 Spades,Nothing in hand
Queen Spades,10 Diamonds,4 Spades,2 Clubs,7 Spades,Nothing in hand
Ace Clubs,8 Heart,Ace Diamonds,Queen Spades,Queen Diamonds,Two pairs
6 Heart,6 Diamonds,6 Spades,Queen Spades,8 Diamonds,Three of a kind
4 Spades,10 Heart,7 Diamonds,8 Clubs,3 Heart,Nothing in hand
Ace Spades,Jack Clubs,Jack Spades,2 Heart,10 Clubs,One pair
3 Spades,King Heart,Ace Heart,5 Diamonds,2 Diamonds,Nothing in hand
5 Clubs,Jack Clubs,10 Clubs,3 Diamonds,5 Spades,One pair
10 Heart,Jack Spades,Jack Clubs,2 Diamonds,Ace Diamonds,One pair
4 Spades,Ace Spades,Ace Diamonds,9 Diamonds,Ace Heart,Three of a kind
4 Clubs,King Clubs,4 Spades,3 Diamonds,Queen Spades,One pair
5 Heart,5 Diamonds,Jack Heart,7 Clubs,King Spades,One pair
2 Diamonds,5 Clubs,8 Heart,King Spades,5 Heart,One pair
Ace Spades,Queen Spades,Ace Diamonds,7 Heart,Ace Clubs,Three of a kind
7 Spades,2 Spades,Jack Heart,Jack Clubs,7 Heart,Two pairs
7 Clubs,5 Diamonds,2 Clubs,3 Spades,King Heart,Nothing in hand
7 Clubs,Jack Heart,Ace Diamonds,10 Diamonds,8 Spades,Nothing in hand
8 Spades,7 Clubs,2 Heart,Ace Spades,5 Diamonds,Nothing in hand
Queen Clubs,6 Diamonds,6 Clubs,8 Diamonds,7 Diamonds,One pair
2 Spades,King Clubs,9 Heart,King Diamonds,Jack Clubs,One pair
3 Heart,6 Diamonds,King Clubs,2 Diamonds,Queen Diamonds,Nothing in hand
9 Spades,3 Heart,3 Spades,Ace Clubs,Jack Heart,One pair
10 Heart,Jack Diamonds,7 Diamonds,5 Heart,Ace Spades,Nothing in hand
4 Clubs,4 Diamonds,5 Clubs,9 Diamonds,7 Heart,One pair
6 Heart,Queen Spades,Queen Heart,9 Heart,Jack Spades,One pair
4 Diamonds,8 Diamonds,6 Spades,Queen Diamonds,3 Diamonds,Nothing in hand
9 Clubs,2 Heart,9 Diamonds,Queen Clubs,9 Spades,Three of a kind
King Spades,Jack Clubs,Queen Spades,10 Clubs,2 Spades,Nothing in hand
Jack Diamonds,King Spades,Jack Heart,2 Heart,3 Diamonds,One pair
2 Heart,2 Spades,4 Clubs,Queen Diamonds,5 Diamonds,One pair
9 Clubs,9 Diamonds,Queen Spades,6 Heart,7 Heart,One pair
3 Clubs,7 Spades,5 Spades,Ace Heart,10 Spades,Nothing in hand
King Spades,5 Clubs,Jack Clubs,6 Clubs,8 Diamonds,Nothing in hand
9 Clubs,7 Diamonds,6 Spades,4 Spades,Ace Heart,Nothing in hand
5 Diamonds,2 Clubs,3 Heart,4 Spades,4 Clubs,One pair
6 Spades,3 Diamonds,Queen Spades,8 Spades,6 Diamonds,One pair
10 Spades,5 Heart,5 Diamonds,8 Clubs,2 Heart,One pair
10 Clubs,King Diamonds,6 Diamonds,5 Diamonds,10 Spades,One pair
6 Diamonds,Jack Clubs,10 Clubs,Ace Diamonds,8 Spades,Nothing in hand
4 Heart,6 Diamonds,Queen Heart,Jack Diamonds,7 Spades,Nothing in hand
9 Diamonds,Jack Clubs,2 Spades,2 Heart,5 Heart,One pair
Jack Clubs,5 Spades,10 Diamonds,5 Clubs,4 Heart,One pair
10 Clubs,8 Spades,5 Heart,10 Spades,Jack Diamonds,One pair
7 Clubs,5 Diamonds,Jack Spades,10 Diamonds,9 Heart,Nothing in hand
8 Clubs,2 Heart,8 Spades,Ace Diamonds,7 Clubs,One pair
10 Spades,Jack Spades,7 Diamonds,King Diamonds,10 Heart,One pair
6 Diamonds,2 Diamonds,Queen Clubs,10 Spades,8 Clubs,Nothing in hand
3 Clubs,8 Clubs,3 Spades,Ace Spades,Jack Clubs,One pair
9 Clubs,7 Diamonds,King Diamonds,Jack Clubs,6 Clubs,Nothing in hand
3 Spades,8 Spades,10 Diamonds,7 Spades,Queen Spades,Nothing in hand
2 Heart,7 Spades,Jack Diamonds,4 Clubs,3 Spades,Nothing in hand
8 Spades,Queen Spades,5 Spades,7 Diamonds,8 Clubs,One pair
7 Heart,King Clubs,Ace Diamonds,7 Clubs,3 Diamonds,One pair
4 Clubs,3 Clubs,9 Heart,8 Spades,Ace Heart,Nothing in hand
6 Heart,King Clubs,Ace Diamonds,7 Heart,King Heart,One pair
5 Spades,2 Clubs,6 Heart,Jack Diamonds,Jack Heart,One pair
6 Clubs,Queen Diamonds,8 Spades,King Spades,King Heart,One pair
10 Heart,6 Spades,10 Clubs,3 Heart,8 Spades,One pair
3 Heart,Queen Diamonds,6 Diamonds,Ace Spades,Ace Diamonds,One pair
Ace Spades,2 Heart,King Spades,10 Clubs,Jack Diamonds,Nothing in hand
Ace Spades,4 Spades,5 Spades,2 Diamonds,King Diamonds,Nothing in hand
7 Diamonds,Ace Spades,5 Heart,King Spades,7 Clubs,One pair
6 Clubs,3 Spades,King Diamonds,5 Spades,2 Heart,Nothing in hand
5 Spades,Jack Diamonds,Ace Spades,3 Diamonds,2 Spades,Nothing in hand
7 Spades,7 Diamonds,Queen Spades,Ace Spades,6 Clubs,One pair
7 Spades,Ace Clubs,Jack Spades,2 Spades,Ace Heart,One pair
9 Diamonds,3 Spades,9 Clubs,3 Heart,Jack Spades,Two pairs
9 Heart,4 Clubs,9 Spades,4 Spades,4 Heart,Full house
2 Diamonds,2 Spades,Jack Clubs,Queen Diamonds,5 Heart,One pair
Queen Spades,5 Diamonds,King Clubs,4 Clubs,Ace Clubs,Nothing in hand
10 Clubs,4 Diamonds,6 Spades,King Spades,4 Heart,One pair
Queen Heart,King Heart,8 Spades,Queen Spades,9 Heart,One pair
Queen Spades,Queen Heart,Ace Heart,6 Spades,7 Diamonds,One pair
6 Clubs,3 Heart,Ace Diamonds,10 Spades,Jack Clubs,Nothing in hand
6 Spades,8 Diamonds,Queen Heart,Queen Diamonds,10 Heart,One pair
6 Heart,Jack Heart,Jack Spades,3 Spades,Ace Heart,One pair
Ace Spades,7 Heart,7 Diamonds,2 Clubs,3 Spades,One pair
King Spades,7 Diamonds,2 Diamonds,Jack Clubs,8 Clubs,Nothing in hand
2 Clubs,2 Heart,4 Heart,Ace Heart,Queen Spades,One pair
2 Diamonds,3 Spades,10 Clubs,King Diamonds,King Clubs,One pair
King Spades,Ace Clubs,8 Clubs,Jack Spades,8 Diamonds,One pair
8 Heart,7 Clubs,King Clubs,5 Diamonds,King Diamonds,One pair
9 Clubs,5 Spades,8 Spades,3 Spades,10 Diamonds,Nothing in hand
4 Clubs,9 Diamonds,Ace Spades,7 Spades,7 Diamonds,One pair
King Clubs,5 Spades,Ace Heart,2 Diamonds,Queen Diamonds,Nothing in hand
Jack Spades,3 Heart,4 Heart,7 Clubs,9 Heart,Nothing in hand
9 Heart,Queen Clubs,6 Heart,7 Diamonds,King Clubs,Nothing in hand
Ace Clubs,8 Diamonds,King Heart,9 Heart,7 Clubs,Nothing in hand
Queen Heart,4 Heart,3 Clubs,7 Spades,Jack Spades,Nothing in hand
5 Heart,3 Spades,Ace Diamonds,6 Spades,8 Diamonds,Nothing in hand
7 Heart,8 Spades,4 Heart,9 Diamonds,Jack Spades,Nothing in hand
4 Heart,2 Diamonds,2 Clubs,5 Spades,10 Spades,One pair
4 Clubs,King Clubs,10 Clubs,9 Diamonds,Queen Diamonds,Nothing in hand
8 Spades,10 Heart,King Clubs,8 Clubs,6 Spades,One pair
Jack Spades,5 Heart,Jack Heart,10 Heart,King Diamonds,One pair
4 Clubs,5 Spades,2 Clubs,5 Diamonds,King Spades,One pair
6 Spades,3 Diamonds,Queen Heart,2 Heart,2 Clubs,One pair
Queen Spades,4 Spades,Queen Clubs,Jack Diamonds,6 Spades,One pair
10 Spades,10 Diamonds,2 Diamonds,Queen Diamonds,4 Clubs,One pair
8 Spades,10 Heart,9 Heart,7 Diamonds,6 Heart,Straight
3 Clubs,9 Spades,King Clubs,8 Clubs,10 Clubs,Nothing in hand
3 Heart,5 Heart,7 Clubs,4 Clubs,10 Spades,Nothing in hand
7 Clubs,2 Diamonds,7 Heart,8 Heart,4 Diamonds,One pair
10 Heart,7 Spades,7 Heart,3 Heart,Ace Diamonds,One pair
7 Clubs,Queen Diamonds,Jack Clubs,7 Heart,8 Heart,One pair
7 Heart,Queen Spades,4 Heart,9 Spades,8 Heart,Nothing in hand
